ICD10,PheCode,ICD10 String,Phenotype,Excl. Phecodes,Excl. Phenotypes,category
A00,008,Cholera,Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A00.0,008,"Cholera due to Vibrio cholerae 01, biovar cholerae",Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A00.1,008,"Cholera due to Vibrio cholerae 01, biovar eltor",Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A00.9,008,"Cholera, unspecified",Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A01,008,Typhoid and paratyphoid fevers,Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A01.0,008.5,Typhoid fever,Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A01.1,008,Paratyphoid fever A,Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A01.2,008,Paratyphoid fever B,Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A01.3,008,Paratyphoid fever C,Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A01.4,008,"Paratyphoid fever, unspecified",Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A02,008.5,Other salmonella infections,Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A02.0,008.5,Salmonella enteritis,Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A02.1,038.1,Salmonella sepsis,Gram negative septicemia,010-041.99,bacterial infection,infectious diseases
A02.2,008.5,Localized salmonella infections,Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A02.8,008.5,Other specified salmonella infections,Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A02.9,008.5,"Salmonella infection, unspecified",Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A03,008.5,Shigellosis,Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A03.0,008.5,Shigellosis due to Shigella dysenteriae,Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A03.1,008.5,Shigellosis due to Shigella flexneri,Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A03.2,008.5,Shigellosis due to Shigella boydii,Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A03.3,008.5,Shigellosis due to Shigella sonnei,Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A03.8,008.5,Other shigellosis,Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A03.9,008.5,"Shigellosis, unspecified",Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A04.0,008.51,Enteropathogenic Escherichia coli infection,Intestinal e.coli,001-009.99,Intestinal infection,infectious diseases
A04.1,008.51,Enterotoxigenic Escherichia coli infection,Intestinal e.coli,001-009.99,Intestinal infection,infectious diseases
A04.2,008.51,Enteroinvasive Escherichia coli infection,Intestinal e.coli,001-009.99,Intestinal infection,infectious diseases
A04.3,008.51,Enterohaemorrhagic Escherichia coli infection,Intestinal e.coli,001-009.99,Intestinal infection,infectious diseases
A04.4,008.51,Other intestinal Escherichia coli infections,Intestinal e.coli,001-009.99,Intestinal infection,infectious diseases
A04.5,008.5,Campylobacter enteritis,Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A04.6,008.5,Enteritis due to Yersinia enterocolitica,Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A04.7,008.52,Enterocolitis due to Clostridium difficile,Intestinal infection due to C. difficile,001-009.99,Intestinal infection,infectious diseases
