ICD10	phecodes
A15.9	10.0,41.0
A26.0	529.1,41.0
A26.7	41.0,994.2
A40.1	41.2,38.1
A40.2	41.2,38.1
A41.9	994.2,38.0
A42.7	38.0,994.2
A88.1	79.0,386.2
B00.8	79.0,54.0
B20.2	79.0,71.1
B20.4	71.1,112.0
B20.6	480.3,71.1
B21.1	202.2,71.1
B22.0	71.1,348.8
B22.2	71.1,798.0,260.1
B23.0	71.1,79.0,136.0
B25.2	79.0,577.1
B44.0	117.4,480.3
B52.0	580.2,133.0
B83	134.0,134.1
C06.8	145.0,149.0,195.1
C83.2	202.23,202.2
C96.0	202.0,277.0
D05.0	195.0,187.0
D13.3	211.0,229.0
D17.3	229.0,214.1
D20.0	215.0,199.0,229.0
D22.3	229.0,216.0
D57.8	200.0,289.0,282.5
D68	286.7,286.6
E10.3	250.23,250.7,250.13
E10.4	250.14,250.24
E12.1	260.2,249.0
E12.2	260.2,249.0
E12.5	249.0,260.2
E12.7	260.2,249.0
E43	277.0,263.0,1002.0
E67	278.0,513.3
E88.8	277.5,277.0
F02.1	290.1,324.1
F32.8	296.1,296.22
F48.8	300.0,306.0,303.0
F51.1	327.0,327.1
F52.2	302.0,605.0
F52.7	605.0,302.0
F63.3	315.0,312.3
F68.0	303.0,301.0
G02.1	117.0,320.0
G04.8	323.8,323.0
G40.4	345.11,345.3
G55.3	907.0,353.0
H04.3	375.0,369.0
H13.8	371.0,372.0
H19.2	360.0,379.0
H21.5	379.5,371.1
H22.1	371.1,379.5
H22.8	379.5,371.1
H25.8	366.2,379.3
H60.0	380.1,686.1
H62.8	380.1,380.0
H81.2	386.2,79.0
H95.8	385.5,388.0
I01	41.21,394.4
I08.1	394.7,395.1,394.2
I08.2	394.3,395.2,394.7
I08.8	394.0,420.3
I08.9	420.3,394.0
I34.0	394.2,395.1
I34.1	411.41,394.2,395.1
I35.9	395.2,394.3
I44.6	426.3,426.32
I49.4	427.6,427.3
I60.0	433.0,459.9
I63.2	433.2,433.11
I63.5	433.21,433.2
J03.0	41.2,465.0
J10.0	481.0,480.0
J11.0	481.0,480.0
J11.8	481.0,1010.0
J17.2	117.0,480.0
J20.1	41.0,483.0
J20.3	483.0,79.0
J20.4	79.0,483.0
J20.5	483.0,79.0
J20.6	483.0,79.0
J84.8	502.0,504.0
J96.9	509.1,509.2
K12.2	681.2,528.3
K23.8	530.0,1011.0
K26	531.3,531.0
K43.9	550.5,550.0
K46.9	550.0,550.5
K56.5	560.4,560.3
K71.5	70.4,573.0
K80.4	574.2,574.12
L03.1	681.5,681.6,681.3
L26	695.8,695.9
L27.0	939.0,687.1,1010.0
L40.1	695.21,696.41
L40.9	696.41,696.4
L72.1	706.2,704.0
M00.2	711.1,41.2
M02.0	569.2,716.9
M02.2	1011.0,716.9
M02.8	711.2,711.0
M05.2	446.3,714.1
M12	716.9,741.0
M13.9	716.9,740.9
M17	716.2,716.9
M17.9	716.9,716.2
M21.2	736.0,739.0
M22.3	742.9,835.0
M24.1	742.8,742.9
M25.8	741.0,716.9
M40.2	721.8,724.9,737.1
M43.2	724.9,721.8
M49.8	721.8,724.9
M50.0	724.9,723.0,722.9,722.7
M50.1	722.9,765.0
M53.2	742.9,741.0
M53.9	721.8,742.9
M60	359.2,770.0
M60.9	770.0,359.2
M62.4	772.4,727.7
M62.5	728.0,772.1
M65.3	709.7,1010.0,727.1
M67.9	727.0,781.0,274.21,729.0
M70.1	727.2,726.1
M75.1	726.1,726.0
M75.2	726.0,726.1
M79.8	729.0,771.1
M90.7	195.1,199.0
M92.5	732.1,736.0
N11.1	586.4,590.0
N16.4	580.32,709.7
N35.1	592.3,597.1
N36.3	597.0,618.1
N39.3	599.4,624.9
N74.2	614.0,90.0
N74.4	90.3,614.33
